Binomial,Mean_brain_mass_g,Mean_body_mass_g,Date
Mammut_americanum,3852,8757000,-1
Mammut_columbi,5211,9102000,2
Elephas_maximus,4807,3235000,0
Loxodonta_africana,4529,3854000,0
Palaeoloxodon_falconeri,6391,6979000,-2
Mammutida_meridionalis,5116,6653000,-7.5
Elephantidae,5003,6370000,-8
Elephantoidea,3577,5065000,-20
Mammutida_americanum,3814,9961000,-18
Elephantimorpha,2849,5848000,-26
Elephantiformes,793,2587000,-34.5
Proboscidea,421,1439000,-40
Mammut_americanum,3852,8757000,-1
Mammut_columbi,5211,9102000,-2
Phosphatherium_escuilliei,20,17000,-55
Loxodonta_africana,4529,3854000,0
Palaeoloxodon_falconeri,6391,6979000,-2
Mammut_americanum,3852,8757000,-1
Mammut_columbi,5211,9102000,2
Elephas_maximus,4807,3235000,0
Loxodonta_africana,4529,3854000,0
Palaeoloxodon_falconeri,6391,6979000,-2
Phosphatherium_escuilliei,20,17000,-55
