host_species,neuron_count
Acanthisitta_chloris,NA
Acinonyx_jubatus,NA
Ailuropoda_melanoleuca,NA
Aotus_nancymaae,NA
Balaenoptera_acutorostrata,NA
Bison_bison,NA
Bos_indicus,NA
Bos_mutus,NA
Bos_taurus,NA
Bubalus_bubalis,NA
Callithrix_jacchus,245
Callorhinus_ursinus,NA
Calypte_anna,NA
Camelus_bactrianus,NA
Camelus_dromedarius,NA
Camelus_ferus,NA
Canis_dingo,NA
Canis_lupus,600
Capra_hircus,NA
Carlito_syrichta,NA
Castor_canadensis,NA
Cavia_porcellus,43
Cebus_capucinus,NA
Ceratotherium_simum,NA
Cercocebus_atys,2500
Chaetura_pelagica,NA
Chinchilla_lanigera,NA
Chlorocebus_sabaeus,NA
Chrysochloris_asiatica,NA
Colobus_angolensis,NA
Condylura_cristata,NA
Corvus_brachyrhynchos,NA
Corvus_cornix,NA
Cyanistes_caeruleus,NA
Delphinapterus_leucas,NA
Desmodus_rotundus,NA
Dipodomys_ordii,NA
Echinops_telfairi,NA
Elephantulus_edwardii,26
Enhydra_lutris,NA
Eptesicus_fuscus,NA
Equus_asinus,NA
Equus_caballus,1200
Equus_przewalskii,NA
Erinaceus_europaeus,24
Felis_catus,250
Ficedula_albicollis,NA
Cryptomys_damarensis,21
Galeopterus_variegatus,NA
Geospiza_fortis,NA
Gorilla_gorilla,9100
Heterocephalus_glaber,6
Hipposideros_armiger,10
Homo_sapiens,16000
Ictidomys_tridecemlineatus,NA
Lagenorhynchus_obliquidens,NA
Lepidothrix_coronata,NA
Leptonychotes_weddellii,NA
Lipotes_vexillifer,NA
Loxodonta_africana,NA
Macaca_fascicularis,800
Macaca_mulatta,1710
Macaca_nemestrina,2531
Mandrillus_leucophaeus,3102
Manis_javanica,NA
Marmota_marmota,NA
Meriones_unguiculatus,NA
Microcebus_murinus,22
Miniopterus_natalensis,6
Monodelphis_domestica,NA
Mus_caroli,NA
Mus_musculus,14
Mus_pahari,NA
Mustela_putorius_furo,38
Myotis_brandtii,10
Myotis_davidii,8
Myotis_lucifugus,10
spalax_ehrenbergi,NA
Neomonachus_schauinslandi,NA
Neophocaena_asiaeorientalis,NA
Nomascus_leucogenys,NA
Nothobranchius_furzeri,NA
Numida_meleagris,NA
Octodon_degus,NA
Odobenus_rosmarus,3900
Odocoileus_virginianus,NA
Orcinus_orca,30000
Orycteropus_afer,NA
Oryzias_latipes,NA
Otolemur_garnettii,226
Ovis_aries,NA
Ovis_aries_musimon,NA
Pan_paniscus,6250
Pan_troglodytes,7400
Panthera_pardus,NA
Panthera_tigris,NA
Pantholops_hodgsonii,NA
Papio_anubis,2880
Parus_major,NA
Pelodiscus_sinensis,NA
Peromyscus_maniculatus,NA
Phascolarctos_cinereus,NA
Physeter_catodon,NA
Picoides_pubescens,NA
Piliocolobus_tephrosceles,NA
Pongo_abelii,8000
Propithecus_coquereli,NA
Pseudopodoces_humilis,NA
Pteropus_alecto,NA
Pteropus_vampyrus,NA
Puma_concolor,NA
Python_bivittatus,NA
Rattus_norvegicus,31
Rhinolophus_sinicus,NA
Rhinopithecus_bieti,NA
Rhinopithecus_roxellana,NA
Rousettus_aegyptiacus,29
Saimiri_boliviensis,1340
Sarcophilus_harrisii,NA
Sorex_araneus,NA
Sus_scrofa,425
Takifugu_rubripes,NA
Theropithecus_gelada,2568
Trichechus_manatus,NA
Tupaia_chinensis,NA
Tursiops_truncatus,NA
Ursus_arctos,250
Ursus_maritimus,NA
Vicugna_pacos,NA
Vulpes_vulpes,355
Zonotrichia_albicollis,NA
